x,y
0.0,0.0
1.0015272,-0.010096031
1.9081991,0.06776227
2.7465336,0.9364836
3.3289912,2.3539374
3.7425447,3.605258
4.511324,4.5465164
5.53186,5.45341
6.639327,5.973091
7.636522,6.6550493
8.7188225,7.6332417
10.042938,8.326275
11.26855,8.763031
12.388012,9.182854
13.444169,9.557118
14.499126,9.734294
15.546464,9.934785
16.664864,10.076494
17.794498,9.904421
18.897312,9.543968
19.977201,9.048437
20.997807,8.635619
21.985422,8.091432
22.940472,7.4878993
23.941017,6.855575
24.819553,6.140585
25.803535,5.3752036
26.710308,4.6521215
27.5529,3.8384473
28.448956,3.1379452
29.33224,2.2051382
29.768896,0.86323404
30.455564,-0.27980152
31.626997,-1.0094413
32.474907,-1.7138963
33.44506,-2.482584
34.270912,-3.3112884
35.1389,-4.109165
36.378242,-4.7545342
37.511086,-5.1941404
38.417908,-6.0215516
39.490685,-6.7647743
40.593784,-7.387762
41.466537,-8.256733
42.660244,-8.708706
43.8872,-9.019845
45.084988,-9.204848
46.264977,-9.369386
47.394768,-9.680364
48.53896,-9.967183
49.65518,-9.939602
50.697853,-9.613387
51.77043,-9.130227
52.849983,-8.502061
53.88503,-7.7883725
54.915493,-7.092716
55.8837,-6.340505
56.836464,-5.5844064
57.68229,-4.8093386
58.610924,-4.121697
59.58763,-3.4004695
60.52005,-2.5617998
61.439476,-1.6821905
62.210487,-0.9297772
63.01031,0.062271263
63.879517,0.98991984
64.64132,1.8141055
65.55888,2.5610328
66.63882,3.1337876
67.72655,3.771241
68.395905,4.857807
69.15818,5.8827834
69.99725,6.768578
71.05194,7.427685
72.31679,7.879841
73.664894,8.137111
74.65695,8.653867
75.66498,9.178101
76.751076,9.498023
77.90024,9.764869
79.01997,9.999697
80.19346,9.921003
81.36248,9.810106
82.48889,9.441587
83.51577,9.010041
84.5802,8.204054
85.699776,7.578167
86.96128,6.959032
87.96306,6.1691747
88.883675,5.395759
89.71807,4.584966
90.61512,3.7301583
91.39787,2.647207
92.51275,1.7631735
93.65898,0.92304045
94.47152,-0.20113766
95.22687,-1.1236923
96.081505,-1.9387033
97.02975,-2.864673
97.67586,-3.949231
